fruit_label,fruit_name,fruit_subtype,mass,width,height,color_score
1.0,apple,granny_smith,180.0,8.0,6.8,0.59
1.0,apple,granny_smith,176.0,7.4,7.2,0.6
2.0,mandarin,mandarin,86.0,6.2,4.7,0.8
2.0,mandarin,mandarin,84.0,6.0,4.6,0.79
2.0,mandarin,mandarin,80.0,5.8,4.3,0.77
2.0,mandarin,mandarin,80.0,5.9,4.3,0.81
2.0,mandarin,mandarin,76.0,5.8,4.0,0.81
1.0,apple,braeburn,178.0,7.1,7.8,0.92
1.0,apple,braeburn,172.0,7.4,7.0,0.89
1.0,apple,braeburn,166.0,6.9,7.3,0.93
1.0,apple,braeburn,172.0,7.1,7.6,0.92
1.0,apple,braeburn,154.0,7.0,7.1,0.88
1.0,apple,golden_delicious,164.0,7.3,7.7,0.7
1.0,apple,golden_delicious,152.0,7.6,7.3,0.69
1.0,apple,golden_delicious,156.0,7.7,7.1,0.69
1.0,apple,golden_delicious,156.0,7.6,7.5,0.67
1.0,apple,golden_delicious,168.0,7.5,7.6,0.73
1.0,apple,cripps_pink,162.0,7.5,7.1,0.83
1.0,apple,cripps_pink,162.0,7.4,7.2,0.85
1.0,apple,cripps_pink,160.0,7.5,7.5,0.86
1.0,apple,cripps_pink,156.0,7.4,7.4,0.84
1.0,apple,cripps_pink,140.0,7.3,7.1,0.87
1.0,apple,cripps_pink,170.0,7.6,7.9,0.88
3.0,orange,spanish_jumbo,342.0,9.0,9.4,0.75
3.0,orange,spanish_jumbo,356.0,9.2,9.2,0.75
3.0,orange,spanish_jumbo,362.0,9.6,9.2,0.74
3.0,orange,selected_seconds,204.0,7.5,9.2,0.77
3.0,orange,selected_seconds,140.0,6.7,7.1,0.72
3.0,orange,selected_seconds,160.0,7.0,7.4,0.81
3.0,orange,selected_seconds,158.0,7.1,7.5,0.79
3.0,orange,selected_seconds,210.0,7.8,8.0,0.82
3.0,orange,selected_seconds,164.0,7.2,7.0,0.8
3.0,orange,turkey_navel,190.0,7.5,8.1,0.74
3.0,orange,turkey_navel,142.0,7.6,7.8,0.75
3.0,orange,turkey_navel,150.0,7.1,7.9,0.75
3.0,orange,turkey_navel,160.0,7.1,7.6,0.76
3.0,orange,turkey_navel,154.0,7.3,7.3,0.79
3.0,orange,turkey_navel,158.0,7.2,7.8,0.77
3.0,orange,turkey_navel,144.0,6.8,7.4,0.75
3.0,orange,turkey_navel,154.0,7.1,7.5,0.78
3.0,orange,turkey_navel,180.0,7.6,8.2,0.79
3.0,orange,turkey_navel,154.0,7.2,7.2,0.82
4.0,lemon,spanish_belsan,194.0,7.2,10.3,0.7
4.0,lemon,spanish_belsan,200.0,7.3,10.5,0.72
4.0,lemon,spanish_belsan,186.0,7.2,9.2,0.72
4.0,lemon,spanish_belsan,216.0,7.3,10.2,0.71
4.0,lemon,spanish_belsan,196.0,7.3,9.7,0.72
4.0,lemon,spanish_belsan,174.0,7.3,10.1,0.72
4.0,lemon,unknown,132.0,5.8,8.7,0.73
4.0,lemon,unknown,130.0,6.0,8.2,0.71
4.0,lemon,unknown,116.0,6.0,7.5,0.72
4.0,lemon,unknown,118.0,5.9,8.0,0.72
4.0,lemon,unknown,120.0,6.0,8.4,0.74
4.0,lemon,unknown,116.0,6.1,8.5,0.71
4.0,lemon,unknown,116.0,6.3,7.7,0.72
4.0,lemon,unknown,116.0,5.9,8.1,0.73
4.0,lemon,unknown,152.0,6.5,8.5,0.72
4.0,lemon,unknown,118.0,6.1,8.1,0.7
